iter	Logloss
0	0.6693730428
1	0.6474927422
2	0.6292626367
3	0.6105382978
4	0.5929690068
5	0.5759870087
6	0.5640758953
7	0.5502281904
8	0.5374999213
9	0.5267665271
10	0.5158002358
11	0.5059098105
12	0.4970233117
13	0.4892798661
14	0.4829595002
15	0.4761491058
16	0.4699957019
17	0.4648387674
18	0.4592059876
19	0.4529499716
20	0.4485820228
21	0.4424206653
22	0.4381667779
23	0.4347223934
24	0.4313853345
25	0.4277473394
26	0.4243429184
27	0.4213184779
28	0.4181797087
29	0.4145842923
30	0.4119765374
31	0.4088293099
32	0.4070041904
33	0.4038918021
34	0.4021771652
35	0.4004429929
36	0.3992829804
37	0.3974924962
38	0.3962108684
39	0.3949834911
40	0.3935401595
41	0.3925636509
42	0.3917204529
43	0.3909157277
44	0.3897193572
45	0.3888469626
46	0.3876293916
47	0.3865961315
48	0.3855634567
49	0.3848577092
50	0.3838385972
51	0.3830375884
52	0.3817716723
53	0.3810058114
54	0.3804962527
55	0.3800333449
56	0.3793911576
57	0.3788307472
58	0.378277519
59	0.3778744563
60	0.3767521879
61	0.3763834847
62	0.3761652009
63	0.3757695454
64	0.3752585749
65	0.3748313835
66	0.3738801631
67	0.3735279237
68	0.3726657142
69	0.3723324312
70	0.3719489154
71	0.371716526
72	0.371371506
73	0.3711120981
74	0.3708733003
75	0.37062855
76	0.3704154796
77	0.3700469921
78	0.3698422505
79	0.3697643177
80	0.3695871645
81	0.3694653401
82	0.3692319527
83	0.3688926223
84	0.3686225293
85	0.3683831352
86	0.3680823004
87	0.3679848989
88	0.3677489574
89	0.3675138207
90	0.3672273767
91	0.3670915647
92	0.3666996085
93	0.3666170775
94	0.3664323778
95	0.3661151839
96	0.3660078858
97	0.3658605189
98	0.3657441747
99	0.3656896983
100	0.3655364735
101	0.3654224205
102	0.3653079016
103	0.3652115269
104	0.3651217939
105	0.3648370541
106	0.364624533
107	0.3645568637
108	0.364285964
109	0.3642437992
110	0.3640371419
111	0.3639637984
112	0.3639154333
113	0.3638024468
114	0.3636747018
115	0.3635585464
116	0.3632886711
117	0.3630100759
118	0.3628798309
119	0.3626925567
120	0.3626472931
121	0.3625650835
122	0.3624039244
123	0.3622441235
124	0.3621538591
125	0.3620840282
126	0.3618739323
127	0.3618012731
128	0.3617086348
129	0.3616099472
130	0.361497406
131	0.361362647
132	0.3611876821
133	0.3611147078
134	0.3609261446
135	0.3608040066
136	0.3607242395
137	0.3607121907
138	0.36062907
139	0.3604482436
140	0.3603501407
141	0.3601849264
142	0.3595723634
143	0.3594428181
144	0.359282147
145	0.3589952792
146	0.3588752859
147	0.3587199266
148	0.3585692445
149	0.3584187724
150	0.3582400003
151	0.3581203346
152	0.3579672745
153	0.3579362453
154	0.3579000188
155	0.3578390848
156	0.3577683489
157	0.3577041002
158	0.3575692862
159	0.3574338935
160	0.3573303654
161	0.3571848687
162	0.3569787871
163	0.3568390427
164	0.3566063865
165	0.3565788964
166	0.3564072385
167	0.3563375631
168	0.3561852151
169	0.3560354183
170	0.3559800431
171	0.3558488743
172	0.3556575246
173	0.3556273776
174	0.3555228643
175	0.3553775186
176	0.3553234119
177	0.3552336877
178	0.3550284346
179	0.3549283121
180	0.3547317919
181	0.3546701011
182	0.3545303732
183	0.354250791
184	0.354176043
185	0.3540324751
186	0.3538603987
187	0.353624711
188	0.3535221416
189	0.3534420502
190	0.3533763951
191	0.3531679121
192	0.3529447655
193	0.3529206284
194	0.3528866575
195	0.3526977162
196	0.3526748097
197	0.3525922865
198	0.3524745113
199	0.3523918898
