iter	Passed	Remaining
0	3	158
1	5	138
2	8	133
3	11	127
4	13	124
5	16	119
6	18	116
7	21	113
8	24	109
9	26	107
10	29	103
11	32	101
12	34	98
13	37	95
14	39	92
15	42	89
16	44	87
17	47	84
18	50	81
19	52	78
20	55	76
21	58	73
22	60	71
23	63	68
24	65	65
25	68	63
26	70	60
27	74	58
28	77	56
29	80	53
30	82	50
31	85	48
32	88	45
33	92	43
34	94	40
35	97	37
36	100	35
37	103	32
38	106	29
39	108	27
40	111	24
41	114	21
42	116	18
43	119	16
44	122	13
45	125	10
46	127	8
47	130	5
48	133	2
49	136	0
